rand_point,fid,id1,velo,velostreif,veloweg,einbahn,fuss,name,map_velo,map_fuss,se_anno_ca,objectid,LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SREG_TEXT,SHAPE_LEN,id1_2,kategorie,objectid_2,x,y
1278,6938,33490.000000000000000,1,"0",1,FT,1,Freiestrasse,0,0,,35929.000000000000000,,,,,,,,,,,,,,,2684857.9867316331,1246496.9591740246
1280,6941,34847.000000000000000,1,"0",0,"0",0,Klusplatz,3,0,,37110.000000000000000,,,,,,,,,,,,,,,2685172.2112578726,1246591.0819301589
1289,7803,4165.000000000000000,1,"0",0,TF,0,Alderstrasse,0,0,,6941.000000000000000,,,,,,,,,,,,,,,2684329.3927853447,1245710.0869027046
1310,7824,36019.000000000000000,1,"0",0,"0",0,Bellerivestrasse,0,0,,33346.000000000000000,,,,,,,,,,,,,,,2684071.5958448201,1245662.4216254505
1327,8118,16372.000000000000000,1,"0",0,"0",0,Dufourstrasse,1,0,,13741.000000000000000,,,,,,,,,,,,,,,2684041.6337822881,1246002.8626579610
1343,8145,37369.000000000000000,1,"0",0,"0",0,Feldeggstrasse,1,0,,34837.000000000000000,,,,,,,,,,,,,,,2684059.8926440054,1246078.5019590673
1349,8151,39188.000000000000000,1,"0",0,"0",0,Klausstrasse,0,0,,38942.000000000000000,,,,,,,,,,,,,,,2683970.5175130977,1245946.5849776757
1373,8228,9685.000000000000000,1,"0",0,"0",0,Münchhaldenstrasse,1,0,,12189.000000000000000,,,,,,,,,,,,,,,2684594.9318980728,1245474.9841637583
1382,8238,20255.000000000000000,1,"0",0,"0",0,Fr?hlichstrasse,1,0,,16951.000000000000000,,,,,,,,,,,,,,,2684481.0441431827,1245485.9347254036
1416,8274,38820.000000000000000,1,"0",0,"0",0,Dufourstrasse,1,0,,39651.000000000000000,,,,,,,,,,,,,,,2684356.6444933419,1245467.9190448308
1461,8756,4496.000000000000000,1,"0",0,"0",1,Wasersteig,0,0,,6021.000000000000000,,,,,,,,,,,,,,,2685881.1195921176,1245945.6168687819
1469,8764,11145.000000000000000,1,FT,0,"0",0,Witikonerstrasse,3,0,,9590.000000000000000,,,,,,,,,,,,,,,2686290.2091092817,1246045.4999503901
1470,8765,9266.000000000000000,1,"0",0,"0",0,Buchzelgstrasse,0,0,,10494.000000000000000,,,,,,,,,,,,,,,2686711.5938932304,1246063.1082995217
1475,8770,9632.000000000000000,1,FT,0,"0",0,Witikonerstrasse,3,0,,11938.000000000000000,,,,,,,,,,,,,,,2686158.5571232173,1246121.3722481660
1484,8782,14093.000000000000000,1,"0",0,"0",0,Witikonerstrasse,3,0,,14885.000000000000000,,,,,,,,,,,,,,,2686819.5275300564,1245902.1544327298
1519,8824,35010.000000000000000,1,"0",0,"0",0,Sillerwies,0,0,,35532.000000000000000,,,,,,,,,,,,,,,2686141.6200134973,1245980.4134029923
1522,8828,33780.000000000000000,1,"0",0,"0",1,Luegete,0,0,,37147.000000000000000,,,,,,,,,,,,,,,2686444.9167382130,1246089.1225228338
1525,9232,650.000000000000000,1,"0",0,"0",0,Seefeldstrasse,3,0,,457.000000000000000,,,,,,,,,,,,,,,2683982.1139646303,1246328.0553026900
1529,9236,1578.000000000000000,1,"0",0,"0",0,Florastrasse,1,0,,1607.000000000000000,,,,,,,,,,,,,,,2684118.0580416014,1246242.3771321729
1539,9249,6030.000000000000000,1,"0",0,"0",0,Feldeggstrasse,1,0,,7909.000000000000000,,,,,,,,,,,,,,,2684077.2196144587,1246084.2757574974
1548,9265,14318.000000000000000,1,"0",0,"0",0,Mainaustrasse,0,0,,15777.000000000000000,,,,,,,,,,,,,,,2684149.4649490216,1246192.6472269150
1595,9703,19926.000000000000000,1,"0",0,"0",0,Bergstrasse,3,0,,17586.000000000000000,,,,,,,,,,,,,,,2684892.3738077329,1247323.6327662540
1597,9705,20551.000000000000000,1,"0",0,"0",0,Titlisstrasse,0,0,,18013.000000000000000,,,,,,,,,,,,,,,2685087.4226376940,1247223.1251790375
1645,9843,16699.000000000000000,1,"0",0,"0",0,Rübenweg,0,0,,19096.000000000000000,,,,,,,,,,,,,,,2685730.2807475808,1246353.2879335186
1654,9854,1066.000000000000000,1,"0",0,"0",1,Spyristeig,1,1,,1097.000000000000000,,,,,,,,,,,,,,,2684397.7517946609,1249004.1044038476
1721,9955,39427.000000000000000,1,"0",0,"0",1,Hinterbergstrasse,0,1,,39945.000000000000000,,,,,,,,,,,,,,,2684681.2995877117,1248964.6710004972
1728,10128,10827.000000000000000,1,"0",0,"0",0,Sonnenbergstrasse,1,0,,8287.000000000000000,,,,,,,,,,,,,,,2685198.5967351343,1247244.8754289050
1765,10958,5629.000000000000000,1,"0",0,"0",1,Rütiweg,0,0,,6302.000000000000000,,,,,,,,,,,,,,,2688653.5524490406,1246489.9439846966
1783,10989,20113.000000000000000,1,"0",0,"0",1,Geerlibuchweg,2,0,,18388.000000000000000,,,,,,,,,,,,,,,2687947.6108849938,1245594.8042365056
1788,10999,23606.000000000000000,1,"0",0,"0",1,Fussweg,0,0,,21838.000000000000000,,,,,,,,,,,,,,,2687948.5185257387,1246631.4810358603
1792,11008,29111.000000000000000,1,"0",0,"0",1,Alte Zürichstrasse,0,0,,25006.000000000000000,,,,,,,,,,,,,,,2688675.1431551585,1246377.8075540497
1812,11054,40216.000000000000000,1,"0",1,"0",1,Witikonerstrasse,3,0,,37482.000000000000000,,,,,,,,,,,,,,,2688728.1310515278,1246397.5388669411
1840,11082,40294.000000000000000,1,"0",1,"0",1,Witikonerstrasse,3,0,,37635.000000000000000,,,,,,,,,,,,,,,2688604.3112306111,1246383.0004878906
1861,11222,38800.000000000000000,1,"0",0,"0",1,Burgweg,0,1,,39631.000000000000000,,,,,,,,,,,,,,,2684817.5093395864,1245999.5957364284
1871,11388,27883.000000000000000,1,"0",0,"0",0,Hofstrasse,0,0,,26292.000000000000000,,,,,,,,,,,,,,,2685113.7389242952,1247850.5339438692
1884,12559,941.000000000000000,1,"0",0,"0",0,Zürichbergstrasse,1,0,,972.000000000000000,,,,,,,,,,,,,,,2685218.4791449495,1248337.8613188632
1892,12567,3228.000000000000000,1,"0",0,"0",0,Billeterstrasse,1,0,,3439.000000000000000,,,,,,,,,,,,,,,2685186.3263552985,1248192.6207001326
1896,12571,7002.000000000000000,1,"0",0,TF,0,Zürichbergstrasse,0,0,,5391.000000000000000,,,,,,,,,,,,,,,2684962.5315418672,1248148.9187331679
1911,12586,12468.000000000000000,1,"0",1,FT,1,Kr?hbühlstrasse,0,0,,14696.000000000000000,,,,,,,,,,,,,,,2685351.9151965547,1248139.4833079623
1956,12636,34466.000000000000000,1,"0",0,"0",0,Zürichbergstrasse,1,0,,35502.000000000000000,,,,,,,,,,,,,,,2685091.6902844161,1248294.3558517920
1978,,,,,,,,,,,,,71.717488939999996,4362.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,71.717419491013501,,,,2684476.3873161641,1246754.0125012002
1982,,,,,,,,,,,,,277.965998990000003,4230.000000000000000,30.000000000000000,"30057",Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,01_11_2023,,277.965997809538976,,,,2684597.9890405848,1246033.1163243956
2000,,,,,,,,,,,,,58.449401860000002,4181.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,58.449411959143802,,,,2684486.0309937252,1245307.8987746928
2005,,,,,,,,,,,,,220.203897380000001,4348.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,220.203827020337997,,,,2684225.4742170116,1246987.5611149606
2025,,,,,,,,,,,,,245.720432789999990,4282.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,245.720448311282013,,,,2685177.5826585507,1246796.3827820162
2030,,,,,,,,,,,,,269.324148419999972,4464.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,269.324139386446006,,,,2685208.3775864234,1248072.7751708874
2066,,,,,,,,,,,,,351.568692370000008,4458.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,351.568700737554025,,,,2685429.9649379030,1248427.7154436144
2090,,,,,,,,,,,,,84.190800069999995,4289.000000000000000,40.000000000000000,,Gemeinde,Gemeinde,Gemeindestrassen,,01_11_2023,,84.190772371568599,,,,2684405.2411708101,1247147.6217280335
2104,,,,,,,,,,,,,1364.659484219999968,4257.000000000000000,30.000000000000000,"30051",Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,01_11_2023,,1364.659483097959992,,,,2688641.9532713690,1246392.0933938264
2116,,,,,,,,,,,,,134.489050870000000,4158.000000000000000,30.000000000000000,"30057.1",Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,01_11_2023,,134.489064877197990,,,,2684515.1183819175,1246054.8602686573
